work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-CEIL-GRILIATO-100,Потолок грильято (ячейка 100×100),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRILIATO-050,Потолок грильято (ячейка 50×50),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRILIATO-075,Потолок грильято (ячейка 75×75),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRILIATO-PYR-100,Потолок грильято пирамидальный (яч. 100×100),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRILIATO-PYR-050,Потолок грильято пирамидальный (яч. 50×50),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRILIATO-PYR-075,Потолок грильято пирамидальный (яч. 75×75),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-GRID,Потолок кассетный (армстронг),ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-STRETCH,Потолок натяжной,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-RACK,Потолок реечный,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CEIL-RACK-LENS,Потолок реечный линзованный,ceil,Потолки,50,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-ASPHALT-PRO,"Асфальтирование дороги (двухслойное, PRO)",ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-ASPHALT,Асфальтирование площадки/проезда,ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-CURB,Бордюр дорожный,ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-DRAIN-CHANNEL,Водоотводные лотки вдоль дороги,ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROAD-MARKING,Дорожная разметка,ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-OTMOSTKA,Отмостка вокруг здания (бетон),ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ROAD-MEDIAN,Разделительный барьер / отбойник,ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-EXT-PAVING,Тротуарная плитка (наружная),ext,Наружка,55,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
com_fitout,Коммерческая отделка,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-WALLPAPER,Обои (поклейка),finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
finish_paint,Отделка / Покраска,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PAINT-INT,Покраска (интерьер),finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PAINT,Покраска стен/потолков,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
res_finish_paint,Покраска/отделка,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PUTTY,Шпаклёвка (финиш),finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLASTER-INT,Штукатурка внутренних стен,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLASTER,Штукатурка стен,finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLASTER-WALL-PRO,Штукатурка стен по маякам (PRO),finish,Отделка,60,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-WINDOW-AL,Окна алюминиевые / витражи,windows,Окна,65,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
