work_type_code,work_type_name_ru,family_code,basis_key,label_ru,uom_code,status,notes
com_fitout,Коммерческая отделка,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
com_fitout,Коммерческая отделка,finish,area_wall_m2,Площадь стен,м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
finish_paint,Отделка / Покраска,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_concrete,Бетонные работы,concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_concrete,Бетонные работы,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_concrete,Бетонные работы,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_floor_epoxy,Наливные/эпоксидные полы,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_piping,Трубопроводы,plumb,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_piping,Трубопроводы,plumb,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_steel,Металлоконструкции,metal,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
ind_steel,Металлоконструкции,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
res_electrica,Электрика (жилые),elec,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
res_electrica,Электрика (жилые),elec,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
res_finish_paint,Покраска/отделка,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
sanitary,Сантехника (универсальная),plumb,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
sanitary,Сантехника (универсальная),plumb,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BATH,Санузел / Ванная (комплект),plumb,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BATH,Санузел / Ванная (комплект),plumb,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BATH,Санузел / Ванная (комплект),plumb,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BLOCK,Кладка блоков,masonry,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BLOCK,Кладка блоков,masonry,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BLOCK,Кладка блоков,masonry,height_m,Высота облицовки,м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BLOCK,Кладка блоков,masonry,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-BLOCK,Кладка блоков,masonry,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-ARMSTRONG-600,Потолок Армстронг 600×600,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-CLIPIN,Потолок Clip-in (скрытая подвеска),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-CLIPIN,Потолок Clip-in (скрытая подвеска),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-CLIPIN-300x1200,Потолок Clip-in 300×1200,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-CLIPIN-600,Потолок Clip-in 600×600,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GKL-1L,Потолок ГКЛ одноуровневый,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GKL-2L,Потолок ГКЛ двухуровневый,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GKL-BOX,Потолок ГКЛ короб/ниша,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRID,Потолок кассетный (армстронг),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRID,Потолок кассетный (армстронг),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-050,Потолок грильято (ячейка 50×50),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-050,Потолок грильято (ячейка 50×50),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-075,Потолок грильято (ячейка 75×75),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-075,Потолок грильято (ячейка 75×75),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-100,Потолок грильято (ячейка 100×100),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-100,Потолок грильято (ячейка 100×100),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-050,Потолок грильято пирамидальный (яч. 50×50),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-050,Потолок грильято пирамидальный (яч. 50×50),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-075,Потолок грильято пирамидальный (яч. 75×75),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-075,Потолок грильято пирамидальный (яч. 75×75),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-100,Потолок грильято пирамидальный (яч. 100×100),ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-GRILIATO-PYR-100,Потолок грильято пирамидальный (яч. 100×100),ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-RACK,Потолок реечный,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-RACK,Потолок реечный,ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-RACK-LENS,Потолок реечный линзованный,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-RACK-LENS,Потолок реечный линзованный,ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-STRETCH,Потолок натяжной,ceil,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CEIL-STRETCH,Потолок натяжной,ceil,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC,Бетонные работы,concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC,Бетонные работы,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC,Бетонные работы,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC-FLOOR,Бетонирование пола,concrete,area_m2,"Площадь пола, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC-FLOOR,Бетонирование пола,concrete,height_m,"Толщина слоя, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONC-FLOOR,Бетонирование пола,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-BEAM,Монолитная балка,concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-BEAM,Монолитная балка,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-BEAM,Монолитная балка,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-COLUMN,Монолитная колонна,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-COLUMN,Монолитная колонна,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-FLOOR,Бетонирование пола,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-FLOOR,Бетонирование пола,floor,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-FLOOR,Бетонирование пола,floor,volume_m3,"Объём грунта под фундамент (траншеи/котлован), м³",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-FOOTING,Монолитная тумба/башмак,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-FOOTING,Монолитная тумба/башмак,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-MONO,Бетонирование / монолит,concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-MONO,Бетонирование / монолит,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-PILE,Бетон: сваи/столбы (армирование),concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-PILE,Бетон: сваи/столбы (армирование),concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB,Монолитная плита,concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB,Монолитная плита,concrete,height_m,"Толщина плиты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB,Монолитная плита,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB,Монолитная плита,concrete,perimeter_m,"Периметр плиты/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB,Монолитная плита,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB-PRO,"Фундамент плита (бетон, PRO)",concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB-PRO,"Фундамент плита (бетон, PRO)",concrete,height_m,"Толщина плиты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-SLAB-PRO,"Фундамент плита (бетон, PRO)",concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,perimeter_m,"Длина ленты/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,length_m,"Ширина ленты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,height_m,"Высота ленты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP,Ленточный фундамент,concrete,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP-PRO,"Фундамент ленточный (бетон, PRO)",concrete,perimeter_m,"Длина ленты/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP-PRO,"Фундамент ленточный (бетон, PRO)",concrete,length_m,"Ширина ленты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP-PRO,"Фундамент ленточный (бетон, PRO)",concrete,height_m,"Высота ленты, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-CONCRETE-STRIP-PRO,"Фундамент ленточный (бетон, PRO)",concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-DELIVERY,Логистика: поставка/рейсы,logist,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-DEM-CEIL,Демонтаж потолка,demo,area_m2,"Площадь демонтажа потолка, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-DOOR,Демонтаж дверей,demo,count,"Количество дверей, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-FLOOR,Демонтаж напольных покрытий,demo,area_m2,"Площадь демонтажа пола, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-GKL,Демонтаж ГКЛ,demo,area_m2,"Площадь демонтажа ГКЛ, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-INSUL,Демонтаж утеплителя,demo,area_m2,"Площадь демонтажа утеплителя, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-LIGHT,Демонтаж светильников,demo,count,"Количество светильников/точек, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-OUTLET,Демонтаж розеток/выключателей,demo,count,"Количество розеток, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-PLASTER,Демонтаж штукатурки,demo,area_m2,"Площадь демонтажа штукатурки, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-PLUMB-FIX,Демонтаж сантехприборов,demo,count,"Количество сантехточек, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-RADIATOR,Демонтаж радиаторов,demo,count,"Количество радиаторов, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-ROOF,Демонтаж кровли,demo,area_m2,"Площадь демонтажа кровли, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-SCREED,Демонтаж стяжки,demo,area_m2,"Площадь демонтажа стяжки, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-TILE-FLOOR,Демонтаж плитки (пол),demo,area_m2,"Площадь демонтажа плитки (пол), м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-TILE-WALL,Демонтаж плитки (стены),demo,area_m2,"Площадь демонтажа плитки (стены), м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-WALL,Демонтаж обоев/стен,demo,area_m2,"Площадь демонтажа стен, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEM-WINDOW,Демонтаж окон,demo,count,"Количество окон, шт",шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DEMO,Демонтаж (общий),demo,area_m2,"Площадь демонтажа, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean
WT-DOOR,Двери (монтаж),doors,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-DOOR-SET,Установка двери (комплект),doors,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EARTHWORK-PRO,Земляные работы под фундамент (PRO),concrete,volume_m3,"Объём грунта под фундамент (траншеи/котлован), м³",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC,Электромонтаж (общий),elec,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-CABLE,Электрика: кабельные линии/штробы,elec,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-LIGHT,Электрика: светильники,elec,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-OUTLET,Электрика: розетки,elec,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-SWITCH,Электрика: выключатели,elec,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-TRAY,Электрика: кабельные лотки,elec,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ELEC-TRAY,Электрика: кабельные лотки,elec,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-ASPHALT,Асфальтирование площадки/проезда,ext,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-ASPHALT-PRO,"Асфальтирование дороги (двухслойное, PRO)",ext,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-CURB,Бордюр дорожный,ext,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-DRAIN-CHANNEL,Водоотводные лотки вдоль дороги,ext,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-OTMOSTKA,Отмостка вокруг здания (бетон),ext,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-EXT-PAVING,Тротуарная плитка (наружная),ext,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
